#BL_HF	BL_HCL	BA_FHCl	ground
1.0	1.0	20.0	-400.029818949
1.0	1.0	40.0	-521.715488964
1.0	1.0	90.0	-552.610337461
1.0	1.0	110.0	-554.504983954
1.0	1.5	50.0	-549.166936347
1.0	1.5	80.0	-556.078856539
1.0	1.5	90.0	-556.775135906
1.0	1.5	110.0	-557.451245353
1.0	2.0	20.0	-548.604169517
1.0	2.0	30.0	-551.674559615
1.0	2.0	50.0	-555.847273454
1.0	2.0	70.0	-557.520992757
1.0	2.0	80.0	-557.895138842
1.0	2.0	90.0	-558.124398199
1.0	2.0	100.0	-558.273059304
1.0	2.5	10.0	-555.754949556
1.0	2.5	30.0	-556.942662428
1.0	2.5	40.0	-557.511478238
1.0	2.5	50.0	-557.933604960
1.0	2.5	60.0	-558.218181555
1.0	2.5	90.0	-558.634081723
1.0	2.5	100.0	-558.704904988
1.0	2.5	110.0	-558.755970641
1.0	3.0	30.0	-558.278845052
1.0	3.0	40.0	-558.427739422
1.0	3.0	60.0	-558.665056877
1.0	3.0	80.0	-558.816762502
1.0	3.0	90.0	-558.863747992
1.0	3.0	100.0	-558.896700320
1.0	3.5	10.0	-558.563148122
1.0	3.5	20.0	-558.613398192
1.0	3.5	40.0	-558.751708805
1.0	3.5	60.0	-558.870485489
1.0	3.5	70.0	-558.912679799
1.0	3.5	80.0	-558.941790743
1.0	3.5	90.0	-558.962090104
1.0	3.5	110.0	-558.985435756
1.0	4.0	10.0	-558.827904901
1.0	4.0	40.0	-558.911549990
1.0	4.0	50.0	-558.941227565
1.0	4.0	60.0	-558.964090366
1.0	4.0	80.0	-558.994021701
1.0	4.0	100.0	-559.008078174
1.0	4.0	110.0	-559.011942780
1.0	4.5	10.0	-558.948449604
1.0	4.5	30.0	-558.969202408
1.0	4.5	40.0	-558.981726756
1.0	4.5	50.0	-558.994533371
1.0	4.5	70.0	-559.010513073
1.0	4.5	80.0	-559.015516098
1.0	4.5	90.0	-559.018788441
1.0	4.5	100.0	-559.020994000
1.0	4.5	110.0	-559.022502170
1.0	5.0	10.0	-558.997947825
1.0	5.0	20.0	-559.001247738
1.0	5.0	30.0	-559.005757533
1.0	5.0	40.0	-559.010498204
1.0	5.0	50.0	-559.014750700
1.0	5.0	60.0	-559.019751758
1.0	5.0	70.0	-559.022280525
1.0	5.0	80.0	-559.024114819
1.0	5.0	90.0	-559.025266959
1.0	5.0	110.0	-559.026593934
1.0	5.5	10.0	-559.017125035
1.0	5.5	20.0	-559.018316235
1.0	5.5	30.0	-559.019944836
1.0	5.5	40.0	-559.021646954
1.0	5.5	50.0	-559.023149058
1.0	5.5	70.0	-559.026723026
1.0	5.5	80.0	-559.027343861
1.0	5.5	90.0	-559.027676277
1.0	5.5	100.0	-559.027898428
1.0	5.5	110.0	-559.028081256
1.0	6.0	10.0	-559.024092263
1.0	6.0	20.0	-559.024505952
1.0	6.0	30.0	-559.025064023
1.0	6.0	50.0	-559.026110923
1.0	6.0	60.0	-559.028016222
1.0	6.0	70.0	-559.028235523
1.0	6.0	80.0	-559.028416001
1.0	6.0	90.0	-559.028454750
1.0	6.0	100.0	-559.028477509
1.0	6.5	40.0	-559.026882748
1.0	6.5	50.0	-559.027002706
